"","year","tree","Growth","age1","dapcc","dapsc","RWcorr","BAI","BAIserror"
"1",1971,15.25,0.910416666666667,1.625,21.425,8.06594952695002,0.704667328932952,0.143412236977607,0.107767845047058
"2",1972,18.5,1.30638888888889,2.08333333333333,19.55,7.32419226856352,0.989344812113074,0.195699613848036,0.110467041832056
"3",1973,17.625,1.41395833333333,2.5625,19.1,9.98417545612407,1.12887508810251,0.264028145304838,0.0802374019998842
"4",1974,19.1818181818182,1.49848484848485,2.86363636363636,20.0636363636364,10.6332215573377,1.26541979026239,0.332296929300904,0.0802044090571521
"5",1975,18.6428571428571,1.72142857142857,3.25,21,14.8694678014779,1.57291646798368,0.87294851444117,0.444610247439585
"6",1976,19.5333333333333,2.05877777777778,4.03333333333333,21.0333333333333,17.3532378920862,1.81363049011375,0.946994774259872,0.334841659874935
"7",1977,18.2941176470588,2.37156862745098,4.55882352941176,21.4941176470588,22.9110140411126,2.15978557821102,1.41190487304647,0.286264248203026
"8",1978,18.6315789473684,2.7459649122807,5,21.7052631578947,27.7184168520769,2.559235799422,2.00055975931248,0.435146643580963
"9",1979,19.1428571428571,2.77912698412698,5.48412698412698,22.1714285714286,34.3468801476316,2.71784933368807,2.73338720767919,0.552097548659493
"10",1980,19.5833333333333,2.16829861111111,5.74305555555556,22.6041666666667,35.4997857129969,2.10895682182399,2.16152351991569,0.344508537214082
"11",1981,19.64,3.6048,6.45333333333333,22.556,41.0986718408691,3.5230535317132,3.98357210923251,0.606565661696394
"12",1982,18.8275862068966,3.82936781609195,6.0632183908046,22.7758620689655,45.8657678402459,3.88497624538774,5.00978168433895,0.693809277609485
"13",1983,18.34375,3.58421875,6.36458333333333,22.471875,50.0181426684503,3.66987270349241,5.36679257022623,0.749559076369367
"14",1984,18.030303030303,3.43469696969697,6.97474747474747,22.6939393939394,54.9484790677625,3.44893451526664,5.44164778752383,0.662164862604748
"15",1985,18.5142857142857,3.75004761904762,7.5047619047619,22.4,59.5027298165178,3.77531457172284,6.4865755696277,0.74222007631931
"16",1986,18.5142857142857,3.75402380952381,8.43809523809524,22.4,66.3337919615575,3.76122070606171,7.14896104431621,0.779381186852737
"17",1987,18.5142857142857,4.42880952380952,9.38095238095238,22.4,74.3907618469665,4.3953149443379,9.25531094457232,0.893559961577478
"18",1988,18.5142857142857,3.76347619047619,10.3809523809524,22.4,81.2498571941303,3.76344695081339,8.89370373505683,0.788024495702308
"19",1989,18.5142857142857,3.77302380952381,11.3809523809524,22.4,88.0974536322869,3.74982888935309,9.50229439631605,0.746083588976898
"20",1990,18.5142857142857,3.47471428571429,12.3809523809524,22.4,94.4187079751569,3.46418105459447,9.45699506852055,0.764684816916827
"21",1991,18.5142857142857,3.14207142857143,13.3809523809524,22.4,100.156052239592,3.15047235317766,9.18508923968353,0.756254961587489
"22",1992,18.5142857142857,3.30992857142857,14.3809523809524,22.4,106.208526916069,3.34074834088041,10.3320701167187,0.819867406358438
"23",1993,18.5142857142857,3.27214285714286,15.3809523809524,22.4,112.165212055682,3.27624145463683,10.6412286986898,0.873160520213038
"24",1994,18.5142857142857,2.66064285714286,16.3809523809524,22.4,117.036749371801,2.68630768177592,9.24470498234351,0.75669797769841
"25",1995,18.5142857142857,0.510166666666667,17.3809523809524,22.4,117.96253675543,0.511808687138101,1.77963095373941,0.209678128483516
"26",1996,18.5142857142857,2.34147619047619,18.3809523809524,22.4,122.271528519918,2.38105781996758,8.5556921411196,0.78203886463427
"27",1997,18.5142857142857,2.85133333333333,19.3809523809524,22.4,127.387930421855,2.76917789146801,10.3970663408759,1.15144037753086
"28",1998,18.5142857142857,2.64340476190476,20.3809523809524,22.4,132.063746116851,2.51406854260964,9.63143131271952,0.927223422210403
"29",1999,18.5142857142857,1.75252380952381,21.3809523809524,22.4,135.071070538947,1.62244096979896,6.09714025856063,0.457230107107893
"30",2000,18.5142857142857,2.72457142857143,22.3809523809524,22.4,139.806956195196,2.55913470404712,10.2312261973536,0.857093914930671
"31",2001,18.5142857142857,2.47492857142857,23.3809523809524,22.4,144.066358248606,2.2875831134133,9.4562488046448,0.833996219557562
"32",2002,18.5142857142857,1.96209523809524,24.3809523809524,22.4,147.413999760985,1.79635609879329,7.54613410275687,0.624426792326256
"33",2003,18.5142857142857,2.16164285714286,25.3809523809524,22.4,151.155977506238,2.01596956647308,8.847988357693,0.729558828366449
"34",2004,18.5142857142857,2.28469047619048,26.3809523809524,22.4,155.119730173261,2.14425933823762,9.55772525939816,0.708410695742897
"35",2005,18.5142857142857,1.53904761904762,27.3809523809524,22.4,157.794000389964,1.44191982291568,6.62348696091346,0.550159214584996
"36",2006,18.5142857142857,1.67633333333333,28.3809523809524,22.4,160.722617625766,1.58510153349856,7.4942524102913,0.643284608178681
"37",2007,18.5142857142857,1.30790476190476,29.3809523809524,22.4,163.013122508442,1.23849930286793,6.06831566602381,0.582802873559294
"38",2008,18.5142857142857,1.78778571428571,30.3809523809524,22.4,166.125495508959,1.67281875315087,8.31780756717888,0.799685064371997
"39",2009,18.5142857142857,1.23897619047619,31.3809523809524,22.4,168.279106690331,1.1589454158018,5.82915296424811,0.558603253368266
"40",2010,18.5142857142857,1.58366666666667,32.3809523809524,22.4,171.102021334173,1.53102516850202,7.87548362530275,0.779469813694076
"41",2011,18.5142857142857,1.70514285714286,33.3809523809524,22.4,174.124997663178,1.63659199543776,8.62787148734402,0.847928391116731
"42",2012,18.6176470588235,0.909264705882353,34.2745098039216,22.5647058823529,176.716222124205,0.874970576438526,4.68699459694311,0.474327884173433
"43",2013,18.6176470588235,1.42926470588235,35.2745098039216,22.5647058823529,179.241890676887,1.3706242323162,7.34635532486393,0.662096630566307
"44",2014,18.6176470588235,1.24178921568627,36.2745098039216,22.5647058823529,181.413857081097,1.17243390073619,6.4084635852153,0.67112704945801
"45",2015,18.6176470588235,1.01078431372549,37.2745098039216,22.5647058823529,183.189272306051,0.96102559584742,5.30429060734803,0.553679171528236
"46",2016,18.6176470588235,1.07674019607843,38.2745098039216,22.5647058823529,185.107082030755,1.04469644660263,5.88373252444492,0.577832779613962
"47",2017,18.6176470588235,1.04607843137255,39.2745098039216,22.5647058823529,186.98369866697,1.02497689566454,5.87852396148628,0.621931040596341
"48",2018,18.6176470588235,1.24933823529412,40.2549019607843,22.5647058823529,189.220564705882,1.22257886200503,7.06977436088361,0.740392417875637
