year,IBT_ag_m2,sp_code,elev_code
1965,0.0431696427563674,sylvestris,medium
1966,0.181052432264513,sylvestris,medium
1967,0.79662806871758,sylvestris,medium
1968,2.36308992322082,sylvestris,medium
1969,5.24160504258936,sylvestris,medium
1970,10.8728168553305,sylvestris,medium
1971,20.9115825957526,sylvestris,medium
1972,33.3283848223679,sylvestris,medium
1973,55.7676881861665,sylvestris,medium
1974,76.7723098071339,sylvestris,medium
1975,86.4527050239121,sylvestris,medium
1976,126.618286172324,sylvestris,medium
1977,198.606904167084,sylvestris,medium
1978,248.338557438598,sylvestris,medium
1979,275.954626596727,sylvestris,medium
1980,263.094554610276,sylvestris,medium
1981,249.37419582181,sylvestris,medium
1982,224.276959865382,sylvestris,medium
1983,265.363145494944,sylvestris,medium
1984,265.037476366142,sylvestris,medium
1985,320.709518749659,sylvestris,medium
1986,271.882663762929,sylvestris,medium
1987,222.67839485216,sylvestris,medium
1988,233.521052697942,sylvestris,medium
1989,227.658729406074,sylvestris,medium
1990,261.536550415023,sylvestris,medium
1991,283.8185025775,sylvestris,medium
1992,219.765022863504,sylvestris,medium
1993,200.242776050475,sylvestris,medium
1994,163.348324272285,sylvestris,medium
1995,82.8144168575475,sylvestris,medium
1996,181.207149386267,sylvestris,medium
1997,193.794033069476,sylvestris,medium
1998,252.076152853135,sylvestris,medium
1999,128.538959604531,sylvestris,medium
2000,368.453098282795,sylvestris,medium
2001,390.526527438453,sylvestris,medium
2002,257.880639812585,sylvestris,medium
2003,323.370710684019,sylvestris,medium
2004,331.629999567439,sylvestris,medium
2005,126.536179404636,sylvestris,medium
2006,138.827531232051,sylvestris,medium
2007,118.655976618434,sylvestris,medium
2008,224.816201883332,sylvestris,medium
2009,201.388708231178,sylvestris,medium
2010,200.356707880688,sylvestris,medium
2011,260.468465976592,sylvestris,medium
2012,97.6633055590754,sylvestris,medium
2013,275.581194643744,sylvestris,medium
2014,174.424978020961,sylvestris,medium
2015,123.979650196846,sylvestris,medium
2016,105.120372375173,sylvestris,medium
2017,131.44910777667,sylvestris,medium
2018,195.134375967529,sylvestris,medium
1969,9.5152168602182e-4,sylvestris,high
1970,0.332553154329414,sylvestris,high
1971,0.282458539115426,sylvestris,high
1972,0.527845338677269,sylvestris,high
1973,0.916820815167226,sylvestris,high
1974,1.5746694142082,sylvestris,high
1975,7.73056173381899,sylvestris,high
1976,8.55679138050503,sylvestris,high
1977,14.2683864826909,sylvestris,high
1978,23.7916840768649,sylvestris,high
1979,40.3285127755835,sylvestris,high
1980,36.7926990462844,sylvestris,high
1981,72.9274710033041,sylvestris,high
1982,112.424084414045,sylvestris,high
1983,140.612861772493,sylvestris,high
1984,151.141329693075,sylvestris,high
1985,196.430284391881,sylvestris,high
1986,223.482720723488,sylvestris,high
1987,296.591638751001,sylvestris,high
1988,297.414482293007,sylvestris,high
1989,326.226295040593,sylvestris,high
1990,333.792446846112,sylvestris,high
1991,333.508271113434,sylvestris,high
1992,383.835469766615,sylvestris,high
1993,403.753869361593,sylvestris,high
1994,358.235185669275,sylvestris,high
1995,69.8971150247371,sylvestris,high
1996,337.920293907913,sylvestris,high
1997,413.3528048124,sylvestris,high
1998,386.425207412223,sylvestris,high
1999,245.612034291457,sylvestris,high
2000,419.261965399627,sylvestris,high
2001,391.84305961625,sylvestris,high
2002,314.456843706444,sylvestris,high
2003,374.390770216833,sylvestris,high
2004,407.595009846786,sylvestris,high
2005,285.625006729538,sylvestris,high
2006,326.752496335296,sylvestris,high
2007,267.63619227392,sylvestris,high
2008,368.382135583602,sylvestris,high
2009,259.737372711552,sylvestris,high
2010,354.334607828625,sylvestris,high
2011,391.606309790548,sylvestris,high
2012,208.260035871728,sylvestris,high
2013,326.427725218079,sylvestris,high
2014,286.613733522699,sylvestris,high
2015,238.36680727488,sylvestris,high
2016,266.932272768818,sylvestris,high
2017,268.702534071255,sylvestris,high
2018,324.499581434592,sylvestris,high
1980,0.00152216401534616,halepensis,low
1981,0.0428228384596961,halepensis,low
1982,0.118427131414164,halepensis,low
1983,0.809431636033544,halepensis,low
1984,1.50106986863992,halepensis,low
1985,3.00901717923575,halepensis,low
1986,3.4277076883291002,halepensis,low
1987,6.16046278546815,halepensis,low
1988,10.2364480327778,halepensis,low
1989,31.8917857257199,halepensis,low
1990,76.4024497219929,halepensis,low
1991,43.4318837541511,halepensis,low
1992,71.0771022440993,halepensis,low
1993,43.2711663982575,halepensis,low
1994,39.607889334075,halepensis,low
1995,16.7498323569302,halepensis,low
1996,97.6534282657389,halepensis,low
1997,136.973649959072,halepensis,low
1998,50.1172701973166,halepensis,low
1999,32.3503093324664,halepensis,low
2000,28.1140196822451,halepensis,low
2001,37.813925632046,halepensis,low
2002,56.9996742209315,halepensis,low
2003,40.764130326489,halepensis,low
2004,123.84486641924,halepensis,low
2005,37.8546080366371,halepensis,low
2006,24.0820410765901,halepensis,low
2007,32.7455167613971,halepensis,low
2008,28.7274310206517,halepensis,low
2009,41.9024671437451,halepensis,low
2010,147.598989651263,halepensis,low
2011,98.3237288494051,halepensis,low
2012,4.99129056487366,halepensis,low
2013,37.8688440273333,halepensis,low
2014,8.60741532669482,halepensis,low
2015,21.8238196211987,halepensis,low
2016,19.7566427403227,halepensis,low
2017,37.218696520132,halepensis,low
2018,23.9806469687468,halepensis,low
2019,14.1442150479459,halepensis,low
2020,24.2588149619468,halepensis,low
2021,16.8121807659879,halepensis,low
2022,40.706174897313,halepensis,low
1959,0.533359802832069,halepensis,high
1960,2.79106675117953,halepensis,high
1961,7.805505466631,halepensis,high
1962,29.8255233488277,halepensis,high
1963,64.6729967697091,halepensis,high
1964,58.8307015714785,halepensis,high
1965,53.6509468609008,halepensis,high
1966,60.3724429703098,halepensis,high
1967,98.8953807708631,halepensis,high
1968,80.006280822895,halepensis,high
1969,103.791126313267,halepensis,high
1970,112.809703916336,halepensis,high
1971,115.218288895593,halepensis,high
1972,122.379115068017,halepensis,high
1973,109.586651054678,halepensis,high
1974,88.6826229226374,halepensis,high
1975,98.6388178301218,halepensis,high
1976,96.1075822762155,halepensis,high
1977,69.9450600995241,halepensis,high
1978,79.0893172495387,halepensis,high
1979,74.6640110862919,halepensis,high
1980,77.7656494558001,halepensis,high
1981,18.3112764371114,halepensis,high
1982,22.2039439395105,halepensis,high
1983,32.9740826762541,halepensis,high
1984,40.5682104213572,halepensis,high
1985,31.631788062465102,halepensis,high
1986,19.0317144089562,halepensis,high
1987,24.4131879303879,halepensis,high
1988,35.8594494258278,halepensis,high
1989,63.1163113379029,halepensis,high
1990,112.782959120249,halepensis,high
1991,44.246576199268,halepensis,high
1992,65.9825283134915,halepensis,high
1993,59.3490899848944,halepensis,high
1994,28.899730491255202,halepensis,high
1995,17.1485776276653,halepensis,high
1996,54.0825682625236,halepensis,high
1997,108.506862653498,halepensis,high
1998,90.2844014152939,halepensis,high
1999,21.6028335537844,halepensis,high
2000,43.2310471289393,halepensis,high
2001,49.0317604737226,halepensis,high
2002,84.1466913740038,halepensis,high
2003,83.5908687732384,halepensis,high
2004,106.218680991638,halepensis,high
2005,19.6627455298506,halepensis,high
2006,36.9978676005737,halepensis,high
2007,34.6126403805404,halepensis,high
2008,15.8987586386623,halepensis,high
2009,43.1625250517003,halepensis,high
2010,78.4813008964852,halepensis,high
2011,90.8800297302947,halepensis,high
2012,20.086230410045,halepensis,high
2013,74.6820797477177,halepensis,high
2014,24.0964017031496,halepensis,high
2015,32.7244538519226,halepensis,high
2016,13.4281142594466,halepensis,high
2017,38.6194028087764,halepensis,high
2018,49.9583778428628,halepensis,high
2019,40.1099496595411,halepensis,high
2020,38.4254169307951,halepensis,high
2021,20.8841971645177,halepensis,high
2022,32.2971366963157,halepensis,high
1977,0.678333066838779,halepensis,medium
1978,2.72214211028557,halepensis,medium
1979,5.45845183640847,halepensis,medium
1980,5.32394072828262,halepensis,medium
1981,9.83161948377538,halepensis,medium
1982,12.4469975524105,halepensis,medium
1983,10.8556766752687,halepensis,medium
1984,23.7370233818869,halepensis,medium
1985,13.7662273967045,halepensis,medium
1986,23.7745897621259,halepensis,medium
1987,40.7291046405769,halepensis,medium
1988,66.1818273809313,halepensis,medium
1989,121.123387770319,halepensis,medium
1990,203.64635085702,halepensis,medium
1991,136.724461082779,halepensis,medium
1992,174.61887540006,halepensis,medium
1993,110.539353989614,halepensis,medium
1994,111.547479332439,halepensis,medium
1995,69.6395564938404,halepensis,medium
1996,218.970544779044,halepensis,medium
1997,256.01699535724,halepensis,medium
1998,101.1594745189,halepensis,medium
1999,58.7544590826902,halepensis,medium
2000,102.726556976055,halepensis,medium
2001,100.132039466788,halepensis,medium
2002,121.548576599144,halepensis,medium
2003,97.8636600088686,halepensis,medium
2004,179.919532944449,halepensis,medium
2005,54.5195663572042,halepensis,medium
2006,49.7057284254475,halepensis,medium
2007,81.1418105578285,halepensis,medium
2008,103.826765765756,halepensis,medium
2009,77.7334940967955,halepensis,medium
2010,133.653881940324,halepensis,medium
2011,105.633828543077,halepensis,medium
2012,15.007117524888,halepensis,medium
2013,42.3377738540979,halepensis,medium
2014,21.9353398665246,halepensis,medium
2015,34.0421151817648,halepensis,medium
2016,12.0483141341454,halepensis,medium
2017,46.0927051482851,halepensis,medium
2018,43.3510575426858,halepensis,medium
1952,3.50556253447333,pinaster,low
1953,9.17471292874159,pinaster,low
1954,31.9043673694551,pinaster,low
1955,57.9612996920022,pinaster,low
1956,96.028691133576,pinaster,low
1957,113.081485304562,pinaster,low
1958,114.121107309198,pinaster,low
1959,177.224515063259,pinaster,low
1960,210.453719909619,pinaster,low
1961,78.1832395347171,pinaster,low
1962,140.541254322743,pinaster,low
1963,200.937913892177,pinaster,low
1964,96.0737762418976,pinaster,low
1965,56.3552659629231,pinaster,low
1966,137.207732416192,pinaster,low
1967,85.4044250437321,pinaster,low
1968,80.0840740279532,pinaster,low
1969,148.267099161469,pinaster,low
1970,114.379105533518,pinaster,low
1971,115.831909978556,pinaster,low
1972,94.6351076050366,pinaster,low
1973,67.4431359104377,pinaster,low
1974,51.4023416232716,pinaster,low
1975,52.6692508467771,pinaster,low
1976,58.3405897416002,pinaster,low
1977,95.5714309576708,pinaster,low
1978,153.743224899503,pinaster,low
1979,143.24700621463,pinaster,low
1980,69.6704014044215,pinaster,low
1981,24.7388302122455,pinaster,low
1982,75.278111361569,pinaster,low
1983,19.3805501977375,pinaster,low
1984,81.4709771536123,pinaster,low
1985,83.3534018517237,pinaster,low
1986,94.1356658762251,pinaster,low
1987,54.0284175862932,pinaster,low
1988,20.7876759569975,pinaster,low
1989,67.4390935913994,pinaster,low
1990,80.2432523893506,pinaster,low
1991,51.6710229789006,pinaster,low
1992,73.3322314487348,pinaster,low
1993,39.3585675572994,pinaster,low
1994,29.9211505228513,pinaster,low
1995,15.657914777453,pinaster,low
1996,49.5863402198346,pinaster,low
1997,94.2515258513509,pinaster,low
1998,112.64186162372,pinaster,low
1999,19.2458031545718,pinaster,low
2000,66.2529224825155,pinaster,low
2001,104.707927549871,pinaster,low
2002,65.1930549545067,pinaster,low
2003,109.758441439041,pinaster,low
2004,95.6145000273815,pinaster,low
2005,22.2811572960548,pinaster,low
2006,71.9397306979779,pinaster,low
2007,38.9153625062609,pinaster,low
2008,56.8160129230055,pinaster,low
2009,51.6662982296846,pinaster,low
2010,100.238026404166,pinaster,low
2011,119.819838812488,pinaster,low
2012,23.9117223185731,pinaster,low
2013,156.727705273845,pinaster,low
2014,55.1112470967189,pinaster,low
2015,43.7568416072159,pinaster,low
2016,20.6084239233212,pinaster,low
2017,40.7947919522417,pinaster,low
2018,68.3663012219614,pinaster,low
2019,32.7498260697283,pinaster,low
2020,82.3828072255259,pinaster,low
2021,39.9351102618251,pinaster,low
1960,0.35243138769433,pinaster,low2
1961,0.717790066980372,pinaster,low2
1962,2.63918519189454,pinaster,low2
1963,7.48475200232086,pinaster,low2
1964,14.0349055634358,pinaster,low2
1965,17.4405432943036,pinaster,low2
1966,39.801691963471,pinaster,low2
1967,53.4653992367749,pinaster,low2
1968,56.4387787545942,pinaster,low2
1969,97.5329230742432,pinaster,low2
1970,93.531458973634,pinaster,low2
1971,98.087918769389,pinaster,low2
1972,103.695820225129,pinaster,low2
1973,91.8267806712069,pinaster,low2
1974,77.6950434513903,pinaster,low2
1975,75.9878553632165,pinaster,low2
1976,78.6898160894887,pinaster,low2
1977,39.9116459557788,pinaster,low2
1978,56.6888712921975,pinaster,low2
1979,64.2726520379764,pinaster,low2
1980,58.3352260988295,pinaster,low2
1981,23.3444587961204,pinaster,low2
1982,39.4537675027989,pinaster,low2
1983,24.1770781239135,pinaster,low2
1984,34.7759396283938,pinaster,low2
1985,44.6359289252899,pinaster,low2
1986,37.0264612454152,pinaster,low2
1987,24.132895366901,pinaster,low2
1988,21.6649547312976,pinaster,low2
1989,43.1488605281319,pinaster,low2
1990,66.4834656168462,pinaster,low2
1991,48.19133054725,pinaster,low2
1992,55.9528364449744,pinaster,low2
1993,32.4350382607705,pinaster,low2
1994,14.70801924966,pinaster,low2
1995,13.4488816565706,pinaster,low2
1996,48.9146533408079,pinaster,low2
1997,57.8171389716425,pinaster,low2
1998,84.1024148152142,pinaster,low2
1999,28.5881607887953,pinaster,low2
2000,79.735035518566,pinaster,low2
2001,63.1391525284105,pinaster,low2
2002,76.5246635458151,pinaster,low2
2003,82.1371596036432,pinaster,low2
2004,92.0852128917153,pinaster,low2
2005,22.5701929813269,pinaster,low2
2006,49.9198383856532,pinaster,low2
2007,44.8656071555345,pinaster,low2
2008,25.3382425578132,pinaster,low2
2009,53.0798083691887,pinaster,low2
2010,69.0459039771952,pinaster,low2
2011,87.0097941870316,pinaster,low2
2012,17.7922618913871,pinaster,low2
2013,84.6486930631865,pinaster,low2
2014,31.4198798809991,pinaster,low2
2015,58.6405472243766,pinaster,low2
2016,17.6694868100637,pinaster,low2
2017,24.3585526211228,pinaster,low2
2018,50.3029167081008,pinaster,low2
2019,26.0347368549061,pinaster,low2
2020,56.3786227876122,pinaster,low2
2021,46.0026969900231,pinaster,low2
1959,0.802000406442884,pinaster,medium
1960,4.4430897885713,pinaster,medium
1961,16.7568654918117,pinaster,medium
1962,39.7528739308406,pinaster,medium
1963,69.1751013829713,pinaster,medium
1964,116.46957040034,pinaster,medium
1965,114.865154527723,pinaster,medium
1966,208.890436111805,pinaster,medium
1967,197.105568909239,pinaster,medium
1968,181.474141931433,pinaster,medium
1969,271.647541509046,pinaster,medium
1970,335.97104703246,pinaster,medium
1971,352.044035755908,pinaster,medium
1972,336.096490064132,pinaster,medium
1973,382.330645809622,pinaster,medium
1974,340.352696253114,pinaster,medium
1975,323.232307207616,pinaster,medium
1976,244.083072364759,pinaster,medium
1977,331.639749938137,pinaster,medium
1978,460.643122467891,pinaster,medium
1979,446.696126183028,pinaster,medium
1980,277.321344857988,pinaster,medium
1981,127.284384413558,pinaster,medium
1982,236.478296167575,pinaster,medium
1983,103.003868097141,pinaster,medium
1984,175.666334515228,pinaster,medium
1985,280.369561659036,pinaster,medium
1986,310.56095908834,pinaster,medium
1987,140.332126361684,pinaster,medium
1988,90.2037915731004,pinaster,medium
1989,140.967851452305,pinaster,medium
1990,161.388250566082,pinaster,medium
1991,102.534682520031,pinaster,medium
1992,93.2718333439792,pinaster,medium
1993,66.756096420642,pinaster,medium
1994,35.5886207117029,pinaster,medium
1995,21.4380988671101,pinaster,medium
1996,105.364445113228,pinaster,medium
1997,151.863851603804,pinaster,medium
1998,179.756644983616,pinaster,medium
1999,34.6046278831176,pinaster,medium
2000,117.436555967068,pinaster,medium
2001,211.124337748167,pinaster,medium
2002,155.215852862108,pinaster,medium
2003,214.19939413498,pinaster,medium
2004,216.265080560467,pinaster,medium
2005,26.3277438560599,pinaster,medium
2006,83.5804362283606,pinaster,medium
2007,48.2144652124617,pinaster,medium
2008,86.546613665784193,pinaster,medium
2009,109.173537536747,pinaster,medium
2010,203.58794811646,pinaster,medium
2011,259.615134834406,pinaster,medium
2012,50.5322874844486,pinaster,medium
2013,204.943518348359,pinaster,medium
2014,91.2982356229815,pinaster,medium
2015,89.7769610904624,pinaster,medium
2016,49.985554634096,pinaster,medium
2017,67.5152444633929,pinaster,medium
1983,4.05233147001395,pinaster,high
1984,19.2710859552876,pinaster,high
1985,52.4273985107877,pinaster,high
1986,163.347614680017,pinaster,high
1987,263.58301770141,pinaster,high
1988,259.5718420694,pinaster,high
1989,405.826760125519,pinaster,high
1990,551.564523540103,pinaster,high
1991,436.606955956063,pinaster,high
1992,464.834675337171,pinaster,high
1993,335.814626320619,pinaster,high
1994,192.231939355544,pinaster,high
1995,170.624047431685,pinaster,high
1996,479.430754390335,pinaster,high
1997,590.0851167442,pinaster,high
1998,518.728848469432,pinaster,high
1999,111.137455606411,pinaster,high
2000,319.483018849051,pinaster,high
2001,427.609982109377,pinaster,high
2002,307.102869291661,pinaster,high
2003,409.502892761369,pinaster,high
2004,393.236514284218,pinaster,high
2005,49.493918734757,pinaster,high
2006,160.875204977467,pinaster,high
2007,89.0744028779833,pinaster,high
2008,119.700893948206,pinaster,high
2009,190.516944725612,pinaster,high
2010,329.327716986301,pinaster,high
2011,395.182497758477,pinaster,high
2012,125.03362007773,pinaster,high
2013,341.969411450739,pinaster,high
2014,152.670559660691,pinaster,high
2015,188.199181691623,pinaster,high
2016,115.043194551587,pinaster,high
2017,134.376904673089,pinaster,high
2018,249.25626654804,pinaster,high
2019,106.30934898838,pinaster,high
2020,168.412313012651,pinaster,high
1964,0.360914480597881,nigra,low
1965,1.18916262920345,nigra,low
1966,4.2905521769446,nigra,low
1967,9.56214336857896,nigra,low
1968,17.4685391606169,nigra,low
1969,28.9099060238083,nigra,low
1970,50.7611343557299,nigra,low
1971,65.0350452360893,nigra,low
1972,77.1812555181687,nigra,low
1973,92.0469282875187,nigra,low
1974,105.013116023722,nigra,low
1975,102.213506306658,nigra,low
1976,102.740296553019,nigra,low
1977,92.6847593097869,nigra,low
1978,126.924999673788,nigra,low
1979,123.032907159257,nigra,low
1980,118.971832557212,nigra,low
1981,67.6638649083744,nigra,low
1982,80.2430110104097,nigra,low
1983,72.3640464550439,nigra,low
1984,110.013902782672,nigra,low
1985,114.15720161903,nigra,low
1986,85.7623657255617,nigra,low
1987,64.0294715885441,nigra,low
1988,74.2939197899604,nigra,low
1989,90.9433915751475,nigra,low
1990,150.174705260991,nigra,low
1991,94.2993897000728,nigra,low
1992,97.4081076850553,nigra,low
1993,93.63955882915,nigra,low
1994,37.0085946235469,nigra,low
1995,41.280212171307,nigra,low
1996,105.262628967229,nigra,low
1997,120.224312997027,nigra,low
1998,112.537254610518,nigra,low
1999,37.0185509093586,nigra,low
2000,102.729245911173,nigra,low
2001,77.3811007324918,nigra,low
2002,92.7422057082096,nigra,low
2003,95.6995192477375,nigra,low
2004,98.8628310663187,nigra,low
2005,24.5939938642655,nigra,low
2006,61.3520250565688,nigra,low
2007,76.3757428127001,nigra,low
2008,39.0493245524747,nigra,low
2009,122.588998493695,nigra,low
2010,180.025109534375,nigra,low
2011,184.533564587827,nigra,low
2012,39.1504523881048,nigra,low
2013,85.4119849618604,nigra,low
2014,47.1572182651322,nigra,low
2015,60.8651771231035,nigra,low
2016,27.3116558801455,nigra,low
2017,61.3612563218281,nigra,low
2018,69.449266066739,nigra,low
2019,44.1360063444285,nigra,low
2020,101.638723175406,nigra,low
2021,88.2070732775841,nigra,low
1959,1.46733632868104,nigra,medium
1960,4.17235469377454,nigra,medium
1961,8.18292599973909,nigra,medium
1962,15.9442179905655,nigra,medium
1963,32.4551531244508,nigra,medium
1964,50.4192518532438,nigra,medium
1965,41.5337313843753,nigra,medium
1966,64.4688373913335,nigra,medium
1967,73.0205693067181,nigra,medium
1968,69.072447931421,nigra,medium
1969,96.8669171665015,nigra,medium
1970,105.871635082764,nigra,medium
1971,119.339250739922,nigra,medium
1972,108.327100987201,nigra,medium
1973,114.055913996212,nigra,medium
1974,113.558854501467,nigra,medium
1975,110.325107358547,nigra,medium
1976,110.14092882697,nigra,medium
1977,133.348771915259,nigra,medium
1978,188.644109504153,nigra,medium
1979,181.219576840656,nigra,medium
1980,133.907189744586,nigra,medium
1981,71.6400615558689,nigra,medium
1982,79.5411911452868,nigra,medium
1983,61.5985300311354,nigra,medium
1984,100.636491959291,nigra,medium
1985,109.962533278068,nigra,medium
1986,64.8948461402715,nigra,medium
1987,32.1016686874759,nigra,medium
1988,49.0985899911175,nigra,medium
1989,80.0616940057332,nigra,medium
1990,158.418743228732,nigra,medium
1991,93.710596544437,nigra,medium
1992,68.52389847556,nigra,medium
1993,72.7249552380573,nigra,medium
1994,21.4074713835902,nigra,medium
1995,23.0686710178835,nigra,medium
1996,74.2515981988458,nigra,medium
1997,113.231514936449,nigra,medium
1998,78.6409097736865,nigra,medium
1999,16.9056448637631,nigra,medium
2000,55.4952911515598,nigra,medium
2001,59.6568861109251,nigra,medium
2002,54.5978069815439,nigra,medium
2003,66.1944147440426,nigra,medium
2004,50.5653018310631,nigra,medium
2005,12.5082752760129,nigra,medium
2006,31.9220355574143,nigra,medium
2007,26.6188434181496,nigra,medium
2008,14.3455517637421,nigra,medium
2009,60.9240924599503,nigra,medium
2010,105.259688884339,nigra,medium
2011,107.368713062928,nigra,medium
2012,15.94044377598,nigra,medium
2013,36.5133545581426,nigra,medium
2014,17.6059732965805,nigra,medium
2015,34.3330492571681,nigra,medium
2016,14.7638270710314,nigra,medium
2017,39.9734887509007,nigra,medium
1969,0.388185417879965,nigra,high
1970,3.796847859802,nigra,high
1971,5.91396691023264,nigra,high
1972,11.1684366624166,nigra,high
1973,15.7894216300981,nigra,high
1974,22.0024743797609,nigra,high
1975,31.066634714568,nigra,high
1976,50.8399578821093,nigra,high
1977,66.6167958988954,nigra,high
1978,81.5784882214906,nigra,high
1979,99.0469186306394,nigra,high
1980,114.687181042832,nigra,high
1981,84.3872840165134,nigra,high
1982,95.0781393418614,nigra,high
1983,103.840365617817,nigra,high
1984,143.640107683846,nigra,high
1985,176.551290062419,nigra,high
1986,191.19540291479,nigra,high
1987,173.567325963303,nigra,high
1988,229.25753753588901,nigra,high
1989,305.409982378383,nigra,high
1990,396.718361536848,nigra,high
1991,279.722911124037,nigra,high
1992,304.487325249292,nigra,high
1993,261.208355043277,nigra,high
1994,136.070435565078,nigra,high
1995,50.4526184957277,nigra,high
1996,113.459865078363,nigra,high
1997,316.377122795756,nigra,high
1998,336.431800199831,nigra,high
1999,64.1723796912272,nigra,high
2000,168.90070267155,nigra,high
2001,226.687142767073,nigra,high
2002,185.480456700286,nigra,high
2003,225.734503029216,nigra,high
2004,221.467234008195,nigra,high
2005,58.0067199006837,nigra,high
2006,132.799943773372,nigra,high
2007,101.195392498203,nigra,high
2008,106.486056520201,nigra,high
2009,182.172878300728,nigra,high
2010,276.347310836505,nigra,high
2011,217.55441575292,nigra,high
2012,64.6058269077105,nigra,high
2013,177.623766243844,nigra,high
2014,82.630912759477,nigra,high
2015,149.277335139177,nigra,high
2016,67.1719051748518,nigra,high
2017,119.072190672159,nigra,high
2018,133.716497674968,nigra,high
2019,83.13196921582,nigra,high
2020,186.666693449243,nigra,high
1963,7.2743283071167e-4,sylvestris,low
1964,0.0184356959624663,sylvestris,low
1965,0.0591218699069357,sylvestris,low
1966,0.309779537676583,sylvestris,low
1967,1.17833558757319,sylvestris,low
1968,2.70232532782688,sylvestris,low
1969,7.00727549003382,sylvestris,low
1970,8.7215345861094,sylvestris,low
1971,14.6075119315971,sylvestris,low
1972,26.2985583379343,sylvestris,low
1973,38.515855955867,sylvestris,low
1974,50.8894521404956,sylvestris,low
1975,61.7259089003957,sylvestris,low
1976,101.104386932623,sylvestris,low
1977,125.762210224074,sylvestris,low
1978,163.645334513925,sylvestris,low
1979,154.268690426436,sylvestris,low
1980,164.684117341504,sylvestris,low
1981,138.173196394607,sylvestris,low
1982,160.565907068571,sylvestris,low
1983,118.571541549078,sylvestris,low
1984,159.997002620397,sylvestris,low
1985,132.779313844726,sylvestris,low
1986,110.358204579384,sylvestris,low
1987,101.927630320349,sylvestris,low
1988,119.414446970667,sylvestris,low
1989,123.312453063214,sylvestris,low
1990,132.947158626041,sylvestris,low
1991,98.1974223678988,sylvestris,low
1992,88.4770166712392,sylvestris,low
1993,71.5319873149436,sylvestris,low
1994,56.1374216842424,sylvestris,low
1995,15.8482443464768,sylvestris,low
1996,66.863173595462,sylvestris,low
1997,63.9350359304056,sylvestris,low
1998,128.066189540473,sylvestris,low
1999,73.6043797504482,sylvestris,low
2000,148.279243164475,sylvestris,low
2001,155.14236317016,sylvestris,low
2002,117.242955145263,sylvestris,low
2003,125.811219917319,sylvestris,low
2004,140.209737769433,sylvestris,low
2005,68.2511574253691,sylvestris,low
2006,79.284233987518,sylvestris,low
2007,71.3619921506315,sylvestris,low
2008,92.125616711564,sylvestris,low
2009,84.1953075318964,sylvestris,low
2010,106.225100646613,sylvestris,low
2011,148.531672205642,sylvestris,low
2012,69.8595461194127,sylvestris,low
2013,165.858637915376,sylvestris,low
2014,102.445582661784,sylvestris,low
2015,91.9680105315761,sylvestris,low
2016,71.311148504909,sylvestris,low
2017,86.3193073805846,sylvestris,low
2018,94.2843436194798,sylvestris,low
