ID,value,layer,type,soil_var,res,site_code,sp_code,elev_code
1,0.2903999984264374,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,0.2903999984264374,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PINIG_LANTEIRA_M,nigra,medium
3,0.2903999984264374,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PINIG_LANTEIRA_L2,nigra,low
4,0.2903999984264374,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PINIG_LANTEIRA_H,nigra,high
5,0.2903999984264374,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,0.2903999984264374,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PIPIN_JEREZ_L,pinaster,low
7,0.2903999984264374,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PIPIN_JEREZ_M,pinaster,medium
8,0.2903999984264374,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PIPIN_JEREZ_H,pinaster,high
9,0.2903999984264374,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PISYL_PORTUGOS_L,sylvestris,low
10,0.2903999984264374,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PISYL_PORTUGOS_M,sylvestris,medium
11,0.2903999984264374,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PISYL_PORTUGOS_H,sylvestris,high
12,0.2903999984264374,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PIHAL_NACIMIENTO_L,halepensis,low
13,0.2903999984264374,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PIHAL_RAGUA_H,halepensis,high
1,0.2554999887943268,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,0.2554999887943268,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PINIG_LANTEIRA_M,nigra,medium
3,0.2554999887943268,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PINIG_LANTEIRA_L2,nigra,low
4,0.2554999887943268,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PINIG_LANTEIRA_H,nigra,high
5,0.2554999887943268,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,0.2554999887943268,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PIPIN_JEREZ_L,pinaster,low
7,0.2554999887943268,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PIPIN_JEREZ_M,pinaster,medium
8,0.2554999887943268,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PIPIN_JEREZ_H,pinaster,high
9,0.2554999887943268,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PISYL_PORTUGOS_L,sylvestris,low
10,0.2554999887943268,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PISYL_PORTUGOS_M,sylvestris,medium
11,0.2554999887943268,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PISYL_PORTUGOS_H,sylvestris,high
12,0.2554999887943268,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PIHAL_NACIMIENTO_L,halepensis,low
13,0.2554999887943268,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PIHAL_RAGUA_H,halepensis,high
1,20.630510330200195,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,20.630510330200195,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PINIG_LANTEIRA_M,nigra,medium
3,20.630510330200195,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PINIG_LANTEIRA_L2,nigra,low
4,20.630510330200195,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PINIG_LANTEIRA_H,nigra,high
5,20.630510330200195,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,20.630510330200195,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PIPIN_JEREZ_L,pinaster,low
7,20.630510330200195,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PIPIN_JEREZ_M,pinaster,medium
8,20.630510330200195,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PIPIN_JEREZ_H,pinaster,high
9,20.630510330200195,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PISYL_PORTUGOS_L,sylvestris,low
10,20.630510330200195,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PISYL_PORTUGOS_M,sylvestris,medium
11,20.630510330200195,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PISYL_PORTUGOS_H,sylvestris,high
12,20.630510330200195,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PIHAL_NACIMIENTO_L,halepensis,low
13,20.630510330200195,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PIHAL_RAGUA_H,halepensis,high
1,57.313907623291016,ks,Conductividad Hidraulica Saturada Superficial,ks_sup,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,57.313907623291016,ks,Conductividad Hidraulica Saturada Superficial,ks_sup,250,PINIG_LANTEIRA_M,nigra,medium
3,57.313907623291016,ks,Conductividad Hidraulica Saturada Superficial,ks_sup,250,PINIG_LANTEIRA_L2,nigra,low
4,57.313907623291016,ks,Conductividad Hidraulica Saturada Superficial,ks_sup,250,PINIG_LANTEIRA_H,nigra,high
5,57.313907623291016,ks,Conductividad Hidraulica Saturada Superficial,ks_sup,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,57.313907623291016,ks,Conductividad Hidraulica Saturada Superficial,ks_sup,250,PIPIN_JEREZ_L,pinaster,low
7,57.313907623291016,ks,Conductividad Hidraulica Saturada Superficial,ks_sup,250,PIPIN_JEREZ_M,pinaster,medium
8,57.313907623291016,ks,Conductividad Hidraulica Saturada Superficial,ks_sup,250,PIPIN_JEREZ_H,pinaster,high
9,57.313907623291016,ks,Conductividad Hidraulica Saturada Superficial,ks_sup,250,PISYL_PORTUGOS_L,sylvestris,low
10,57.313907623291016,ks,Conductividad Hidraulica Saturada Superficial,ks_sup,250,PISYL_PORTUGOS_M,sylvestris,medium
11,57.313907623291016,ks,Conductividad Hidraulica Saturada Superficial,ks_sup,250,PISYL_PORTUGOS_H,sylvestris,high
12,57.313907623291016,ks,Conductividad Hidraulica Saturada Superficial,ks_sup,250,PIHAL_NACIMIENTO_L,halepensis,low
13,57.313907623291016,ks,Conductividad Hidraulica Saturada Superficial,ks_sup,250,PIHAL_RAGUA_H,halepensis,high
1,1.384529948234558,da25final,Densidad Aparente Subsuperficial,da_sub,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,1.384529948234558,da25final,Densidad Aparente Subsuperficial,da_sub,250,PINIG_LANTEIRA_M,nigra,medium
3,1.384529948234558,da25final,Densidad Aparente Subsuperficial,da_sub,250,PINIG_LANTEIRA_L2,nigra,low
4,1.384529948234558,da25final,Densidad Aparente Subsuperficial,da_sub,250,PINIG_LANTEIRA_H,nigra,high
5,1.384529948234558,da25final,Densidad Aparente Subsuperficial,da_sub,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,1.384529948234558,da25final,Densidad Aparente Subsuperficial,da_sub,250,PIPIN_JEREZ_L,pinaster,low
7,1.384529948234558,da25final,Densidad Aparente Subsuperficial,da_sub,250,PIPIN_JEREZ_M,pinaster,medium
8,1.384529948234558,da25final,Densidad Aparente Subsuperficial,da_sub,250,PIPIN_JEREZ_H,pinaster,high
9,1.384529948234558,da25final,Densidad Aparente Subsuperficial,da_sub,250,PISYL_PORTUGOS_L,sylvestris,low
10,1.384529948234558,da25final,Densidad Aparente Subsuperficial,da_sub,250,PISYL_PORTUGOS_M,sylvestris,medium
11,1.384529948234558,da25final,Densidad Aparente Subsuperficial,da_sub,250,PISYL_PORTUGOS_H,sylvestris,high
12,1.384529948234558,da25final,Densidad Aparente Subsuperficial,da_sub,250,PIHAL_NACIMIENTO_L,halepensis,low
13,1.384529948234558,da25final,Densidad Aparente Subsuperficial,da_sub,250,PIHAL_RAGUA_H,halepensis,high
1,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PINIG_LANTEIRA_M,nigra,medium
3,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PINIG_LANTEIRA_L2,nigra,low
4,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PINIG_LANTEIRA_H,nigra,high
5,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PIPIN_JEREZ_L,pinaster,low
7,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PIPIN_JEREZ_M,pinaster,medium
8,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PIPIN_JEREZ_H,pinaster,high
9,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PISYL_PORTUGOS_L,sylvestris,low
10,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PISYL_PORTUGOS_M,sylvestris,medium
11,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PISYL_PORTUGOS_H,sylvestris,high
12,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PIHAL_NACIMIENTO_L,halepensis,low
13,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PIHAL_RAGUA_H,halepensis,high
1,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PINIG_LANTEIRA_M,nigra,medium
3,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PINIG_LANTEIRA_L2,nigra,low
4,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PINIG_LANTEIRA_H,nigra,high
5,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PIPIN_JEREZ_L,pinaster,low
7,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PIPIN_JEREZ_M,pinaster,medium
8,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PIPIN_JEREZ_H,pinaster,high
9,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PISYL_PORTUGOS_L,sylvestris,low
10,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PISYL_PORTUGOS_M,sylvestris,medium
11,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PISYL_PORTUGOS_H,sylvestris,high
12,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PIHAL_NACIMIENTO_L,halepensis,low
13,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PIHAL_RAGUA_H,halepensis,high
1,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PINIG_LANTEIRA_M,nigra,medium
3,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PINIG_LANTEIRA_L2,nigra,low
4,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PINIG_LANTEIRA_H,nigra,high
5,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PIPIN_JEREZ_L,pinaster,low
7,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PIPIN_JEREZ_M,pinaster,medium
8,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PIPIN_JEREZ_H,pinaster,high
9,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PISYL_PORTUGOS_L,sylvestris,low
10,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PISYL_PORTUGOS_M,sylvestris,medium
11,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PISYL_PORTUGOS_H,sylvestris,high
12,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PIHAL_NACIMIENTO_L,halepensis,low
13,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PIHAL_RAGUA_H,halepensis,high
1,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PINIG_LANTEIRA_M,nigra,medium
3,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PINIG_LANTEIRA_L2,nigra,low
4,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PINIG_LANTEIRA_H,nigra,high
5,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PIPIN_JEREZ_L,pinaster,low
7,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PIPIN_JEREZ_M,pinaster,medium
8,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PIPIN_JEREZ_H,pinaster,high
9,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PISYL_PORTUGOS_L,sylvestris,low
10,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PISYL_PORTUGOS_M,sylvestris,medium
11,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PISYL_PORTUGOS_H,sylvestris,high
12,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PIHAL_NACIMIENTO_L,halepensis,low
13,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PIHAL_RAGUA_H,halepensis,high
1,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PINIG_LANTEIRA_M,nigra,medium
3,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PINIG_LANTEIRA_L2,nigra,low
4,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PINIG_LANTEIRA_H,nigra,high
5,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PIPIN_JEREZ_L,pinaster,low
7,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PIPIN_JEREZ_M,pinaster,medium
8,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PIPIN_JEREZ_H,pinaster,high
9,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PISYL_PORTUGOS_L,sylvestris,low
10,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PISYL_PORTUGOS_M,sylvestris,medium
11,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PISYL_PORTUGOS_H,sylvestris,high
12,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PIHAL_NACIMIENTO_L,halepensis,low
13,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PIHAL_RAGUA_H,halepensis,high
1,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PINIG_LANTEIRA_M,nigra,medium
3,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PINIG_LANTEIRA_L2,nigra,low
4,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PINIG_LANTEIRA_H,nigra,high
5,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PIPIN_JEREZ_L,pinaster,low
7,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PIPIN_JEREZ_M,pinaster,medium
8,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PIPIN_JEREZ_H,pinaster,high
9,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PISYL_PORTUGOS_L,sylvestris,low
